2018-02-25 18:23:16,636 - collector - INFO - Tweets in MongoDB: 143630
2018-02-25 18:23:18,404 - collector - INFO - Tweets in MySQL: 136640
2018-02-25 18:35:39,388 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x93\\x9D O...' for column 'text' at row 1")
2018-02-25 18:35:42,876 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:35:45,080 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:35:45,489 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:35:48,415 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x98\\x96' for column 'text' at row 1")
2018-02-25 18:35:56,320 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:35:57,398 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\xA4\\xADIt...' for column 'text' at row 1")
2018-02-25 18:35:57,871 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x93\\x8CKu...' for column 'text' at row 1")
2018-02-25 18:35:59,315 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x93\\x8CKu...' for column 'text' at row 1")
2018-02-25 18:36:04,724 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x98\\xAD' for column 'text' at row 1")
2018-02-25 18:36:06,610 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x87\\xBA\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:36:15,427 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:36:18,055 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x87\\xBA\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:36:26,314 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x93\\x8CKu...' for column 'text' at row 1")
2018-02-25 18:36:30,041 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:36:30,724 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x92\\xAF\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:36:36,473 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x98\\x8D\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:36:38,334 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:36:39,071 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x91\\x8F\\x0A3...' for column 'text' at row 1")
2018-02-25 18:36:45,488 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x91\\x87\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:36:45,810 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:36:48,434 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:36:48,663 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\xA4\\xADIt...' for column 'text' at row 1")
2018-02-25 18:36:51,939 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:36:53,978 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x98\\xA1\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:36:57,634 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x95\\xB5\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:37:06,848 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\xA4\\xA7' for column 'text' at row 1")
